node,children_node
fund_industry_allocation_ability,
fund_industry_concentration,
fund_indu_holding_analysis,
fund_invisible,
fund_jenson_ratio,
fund_leverage,
fund_liquidity_risk,
fund_management_fee,
fund_manager_performance_stability,dep_manager_performance_stability
fund_maxdrawd,dep_fund_maxdrawd
fund_pdi,dep_fund_pdi
fund_purchase_fee,
fund_redemption_fee,
fund_region_concentration,
fund_return_performance,dep_fund_return_performance
fund_return_risk_ratio,
fund_return_sd,dep_fund_return_sd
fund_riskadjusted_return_ability,
fund_risk_level,
fund_sales_fee,
fund_sharpe_ratio,
fund_sortino_ratio,
fund_stock_ratio_in_nv,
fund_subscription_fee,
fund_theme_holding_analysis,
fund_treynor_ratio,
fund_trustee_fee,
fund_upside_downside_invest_ability,
fund_var,
fund_violation,
GoodWill2NetAssetsLr,
GoodWill2NetAssetsLrStar,
Goodwill2ProfitLr,
Goodwill2ProfitLrStar,
GoodwillAbnormal,GoodWill2NetAssetsLr
GoodwillAbnormal,Goodwill2ProfitLr
GrossMarginAbnormal,GrossMarginAndSAFRExpenseRatioAbnormal
GrossMarginAbnormal,InventoryTurnoverAndGrossMarginConflict
GrossMarginAbnormal,OverGrossMarginIndustryDeviation
GrossMarginAbnormal,OverGrossMarginStd
GrossMarginAbnormal_v2,GrossMarginAndSAFRExpenseRatioAbnormal
GrossMarginAbnormal_v2,InventoryTurnoverAndGrossMarginConflict
GrossMarginAbnormal_v2,OverGrossMarginIndustryDeviation
GrossMarginAbnormal_v2,OverGrossMarginStd
GrossMarginAndSAFRExpenseRatioAbnormal,GrossMarginTtm
GrossMarginAndSAFRExpenseRatioAbnormal,SAFRExpenseRatioTtm
GrossMarginGrowthLyr,
GrossMarginGrowthLyrStar,
GrossMarginIndustryDeviationTtm,
GrossMarginStdTtm,
GrossMarginTtm,
GrossMarginTtmStar,
GroupCorr,
GrowthAbnormal,NegaMarketShareGrowth
GrowthAbnormal,NegaNetAssetsGrowth
GrowthAbnormal,OperateProfitAbnormal
GrowthAbnormal,RevenueGrowthAbnormal
GrowthAbnormal_v2,NegaMarketShareGrowth
GrowthAbnormal_v2,NegaNetAssetsGrowth
GrowthAbnormal_v2,OperateProfitAbnormal
GrowthAbnormal_v2,RevenueGrowthAbnormal
high_yield_bond_appendix_2,
hyy1_NetProfitDistress,
hyy_RateCurveLevel,
IFEffect_v2,
IncomeTaxAbnormal,IncomeTaxRateAbnormalLyr
IncomeTaxRateAbnormalLyr,
IndeSupeNum,
IndeSupeNum2BDNumber,
information_ratio_fator_analysis,
IntangibleRatioLr,
